,,,Life expectancy,,,,,,Premature age-adjusted mortality,,,,,,,Child mortality,,,,,,,Infant mortality,,,,,,,Frequent physical distress,,,Frequent mental distress,,,Diabetes prevalence,,,HIV prevalence,,Food insecurity,,Limited access to healthy foods,,Drug overdose deaths,,Motor vehicle crash deaths,,,,Insufficient sleep,,,Uninsured adults,,,,Uninsured children,,,,Other primary care providers,,Disconnected youth,Median household income,,,,,,Children eligible for free or reduced price lunch,Residential segregation - black/white,Residential segregation - non-white/white,Homicides,,,Firearm fatalities,,,,Homeownership,,,,Severe housing cost burden,,,,Demographics,,,,,,,,,,,,,,,,,,,,,
47087,Tennessee,Jackson,74.6,72.8,76.3,,,,261,513,444,581,,,,,,,,,,,,,,,,,,17,16,18,16,16,17,15,11,19,13,129,1800,16,1,0,11,32,18,22,13,35,37,35,38,1060,16,13,18,116,5,3,7,9,11677:1,,36815,32535,41095,,,,,,58,,,,10,17,8,32,3470,76,72,80,489,12,8,16,11677,18.2,22.1,56,0.5,77,0.7,17,0.1,4,0.0,248,2.1,11138,95.4,8,0,0,1,50.2,11638,100.0
47089,Tennessee,Jefferson,75.6,74.8,76.4,,78.9,75.5,946,454,423,485,722,,455,24,55,36,82,,,,24,7,4,10,,,,14,13,14,13,13,14,14,10,18,47,103,6420,12,1312,3,22,14,58,16,12,20,33,32,34,4181,13,12,15,372,3,2,4,82,1223:1,,45556,41053,50059,34870,53438,45906,,54,41,4,3,7,26,10,6,14,14751,73,71,76,1878,10,8,12,53804,19.9,19.6,1054,2.0,245,0.5,319,0.6,29,0.1,1971,3.7,49604,92.2,484,1,1,1,50.9,30581,59.5
47091,Tennessee,Johnson,73.2,71.6,74.9,,,,396,560,500,620,,,,14,114,63,192,,,,,,,,,,,16,16,17,15,15,16,14,10,17,30,191,2780,16,873,5,,,27,22,14,31,37,36,38,1371,15,13,17,121,4,3,5,130,769:1,,36331,31875,40787,70804,21051,33144,,45,19,,,,20,22,14,35,5305,76,74,79,639,10,7,13,17691,16.8,22.5,403,2.3,53,0.3,41,0.2,10,0.1,379,2.1,16644,94.1,51,0,0,1,46.0,15546,85.2
47093,Tennessee,Knox,76.7,76.4,77.0,71.8,105.8,76.9,6566,424,414,435,628,200,416,211,55,47,62,103,72,46,217,6,5,7,11,8,5,13,13,14,14,13,14,12,10,13,729,191,59550,13,49168,11,569,42,394,13,11,14,34,33,35,32100,11,10,13,3019,3,2,4,187,535:1,6,55299,53268,57330,29034,36594,56286,,56,42,5,4,6,319,14,13,16,116893,64,63,65,21759,12,12,13,461860,21.2,15.4,40297,8.7,1562,0.3,10754,2.3,521,0.1,19745,4.3,380672,82.4,5461,1,1,1,51.4,47205,10.9
47095,Tennessee,Lake,71.9,69.9,73.9,81.5,,70.5,172,659,559,760,529,,712,,,,,,,,,,,,,,,16,16,17,15,14,15,12,9,16,45,666,1690,22,8,0,,,10,19,9,34,39,38,40,419,14,12,16,39,4,2,5,121,830:1,,31144,26986,35302,19917,23523,40691,,16,14,,,,,,,,1284,59,56,63,236,12,6,18,7468,14.7,15.6,2139,28.6,35,0.5,14,0.2,2,0.0,171,2.3,4975,66.6,16,0,0,1,36.1,7832,100.0
47097,Tennessee,Lauderdale,73.1,72.0,74.3,71.4,,73.9,513,559,510,609,600,,545,25,102,66,150,135,,79,27,12,8,18,,,,17,16,17,15,15,16,17,13,21,84,370,5880,22,1563,6,14,18,54,28,21,37,40,39,41,2076,15,12,17,198,3,2,4,67,1487:1,12,38718,36390,41046,24753,,42131,,41,40,11,7,17,25,19,12,28,5590,57,55,59,1614,18,14,21,25274,23.8,15.7,8377,33.1,186,0.7,199,0.8,3,0.0,622,2.5,15579,61.6,147,1,0,1,50.4,16317,58.7
47099,Tennessee,Lawrence,74.3,73.5,75.1,,,,809,520,483,558,,,,39,91,65,124,,,,30,8,5,11,,,,15,14,15,15,14,15,15,11,18,31,89,5760,14,1200,3,25,19,54,18,14,24,37,36,38,3634,15,13,17,413,4,3,5,113,886:1,13,41505,37412,45598,26932,52366,41499,,66,45,3,2,6,29,14,9,20,11887,74,71,76,1641,11,9,13,43396,25.1,17.6,718,1.7,196,0.5,233,0.5,10,0.0,949,2.2,40685,93.8,516,1,0,2,50.9,31769,75.9
47101,Tennessee,Lewis,74.6,72.8,76.4,,,,244,532,460,604,,,,,,,,,,,,,,,,,,15,14,15,14,14,15,15,11,20,9,89,1650,14,221,2,,,14,17,9,28,35,33,36,996,15,12,17,102,4,2,5,58,1719:1,,37959,33273,42645,,51927,37441,,,27,,,,24,40,26,60,3674,79,75,82,215,5,2,8,12035,21.4,20.7,234,1.9,59,0.5,68,0.6,6,0.0,271,2.3,11252,93.5,177,2,0,3,51.3,8536,70.2
47103,Tennessee,Lincoln,74.9,73.9,76.0,71.3,,74.8,604,478,437,519,604,,486,18,60,36,95,,,,21,8,5,13,,,,15,14,15,14,14,15,14,11,18,26,92,4370,13,2119,6,16,16,51,22,16,29,39,38,41,2704,14,12,16,333,4,3,6,62,1607:1,,49295,43627,54963,28417,32091,43527,,47,35,,,,22,13,8,20,9904,73,69,76,1550,12,9,14,33751,22.1,19.2,2285,6.8,280,0.8,167,0.5,54,0.2,1161,3.4,29327,86.9,123,0,0,1,51.0,24183,72.5
47105,Tennessee,Loudon,76.6,75.7,77.4,,107.2,76.2,935,434,402,466,,,,25,62,40,91,,,,24,6,4,9,,,,13,13,14,13,12,13,13,10,17,49,112,5070,10,5555,11,46,30,52,15,11,19,33,32,34,4263,15,13,17,477,5,3,6,69,1449:1,,57641,52948,62334,30761,44917,56574,,55,42,,,,31,12,8,17,15282,76,74,78,1770,9,7,11,52152,19.6,25.9,657,1.3,306,0.6,436,0.8,112,0.2,4479,8.6,45853,87.9,1351,3,2,4,50.8,19720,40.6
47107,Tennessee,McMinn,74.7,73.9,75.5,72.1,78.4,74.6,1017,508,475,541,647,,512,23,51,32,76,,,,21,5,3,8,,,,15,14,15,14,14,15,14,11,17,53,118,7160,14,2657,5,39,25,69,19,15,24,36,35,37,3941,13,11,15,456,4,3,5,91,1102:1,8,39860,36165,43555,21875,25134,41469,,45,32,6,4,9,43,16,12,22,15115,74,73,76,2708,14,11,16,52877,21.3,19.5,1960,3.7,273,0.5,384,0.7,21,0.0,2166,4.1,47146,89.2,283,1,0,1,51.2,31538,60.3
47109,Tennessee,McNairy,73.3,72.2,74.3,78.5,,72.9,587,582,532,632,486,,595,,,,,,,,,,,,,,,16,16,17,16,15,16,15,12,19,16,73,4160,16,1315,5,20,26,48,26,19,35,36,35,37,2214,15,13,17,224,4,2,5,69,1445:1,15,39407,35013,43801,22290,,35421,,26,17,,,,28,22,14,31,7428,74,71,76,1008,11,8,14,26004,22.1,20.3,1545,5.9,97,0.4,81,0.3,5,0.0,540,2.1,23372,89.9,52,0,0,1,50.7,22235,85.3
47111,Tennessee,Macon,74.0,72.8,75.1,,,,454,543,491,594,,,,15,65,36,107,,,,,,,,,,,15,15,16,15,14,15,15,11,19,10,53,2790,12,412,2,13,18,42,26,19,35,37,36,38,2562,19,16,21,273,5,3,6,58,1720:1,,41266,36222,46310,,28634,36009,,,26,,,,27,23,15,34,6723,73,70,76,992,11,8,15,24079,24.8,15.4,197,0.8,177,0.7,289,1.2,10,0.0,1355,5.6,21929,91.1,309,1,0,2,51.5,17703,79.6
47113,Tennessee,Madison,75.5,74.9,76.0,72.9,,76.5,1576,466,442,490,588,,416,75,84,66,105,111,,60,80,9,7,11,13,,5,14,14,14,14,13,14,13,11,15,217,266,17900,18,10428,11,39,13,102,15,12,18,37,37,38,6342,11,10,13,841,4,2,5,182,549:1,11,46424,42014,50834,31934,30649,55432,,41,39,12,9,15,89,18,15,22,23511,63,62,64,5991,17,15,19,97643,22.5,16.6,36591,37.5,324,0.3,1115,1.1,46,0.0,3773,3.9,54550,55.9,462,1,0,1,52.7,25386,25.8
47115,Tennessee,Marion,74.1,73.1,75.1,,,,641,563,517,610,695,,566,,,,,,,,,,,,,,,14,14,15,14,14,15,17,13,21,24,99,3990,14,1092,4,18,21,48,24,18,32,37,35,38,2034,12,10,14,213,3,2,4,60,1672:1,,47331,43107,51555,41513,,46903,,41,19,,,,22,16,10,23,8511,75,72,77,1223,12,9,14,28425,21.3,19.5,1109,3.9,131,0.5,178,0.6,7,0.0,504,1.8,26068,91.7,3,0,0,0,51.1,21747,77.0
47117,Tennessee,Marshall,75.1,74.1,76.0,70.2,,75.1,570,482,441,522,702,,477,21,70,43,107,,,,24,10,6,14,,,,13,13,14,13,13,14,13,9,16,35,133,3840,12,2380,8,29,30,38,17,12,24,35,34,36,2713,14,12,16,341,4,3,6,79,1267:1,,52415,46244,58586,31367,38859,48890,,42,39,6,3,10,21,13,8,20,8608,72,69,75,1260,11,8,13,32931,23.4,15.9,2156,6.5,143,0.4,222,0.7,30,0.1,1693,5.1,28187,85.6,274,1,0,2,50.8,20153,65.8
47119,Tennessee,Maury,76.2,75.6,76.8,74.4,95.1,76.0,1369,423,399,446,523,238,422,46,55,40,73,,,,47,6,4,8,,,,14,13,14,13,13,14,11,9,14,115,158,10880,13,5762,7,51,19,91,15,12,19,36,35,37,6318,12,10,13,866,4,3,5,122,823:1,10,56999,52276,61722,38190,47721,53957,,35,29,4,3,6,60,14,10,18,22891,69,67,70,3790,12,10,13,92163,23.5,15.5,10789,11.7,454,0.5,878,1.0,50,0.1,5383,5.8,73119,79.3,653,1,0,1,51.8,33672,41.6
47121,Tennessee,Meigs,72.5,70.8,74.2,,,,291,604,529,678,,,,,,,,,,,,,,,,,,15,15,16,15,14,15,14,11,19,10,98,1640,14,71,1,18,50,33,40,28,56,35,34,37,1015,15,12,17,117,4,3,6,41,2414:1,,45695,41048,50342,,,,,,58,,,,11,19,9,33,3816,79,76,82,547,12,8,16,12068,20.9,20.7,174,1.4,111,0.9,44,0.4,4,0.0,242,2.0,11383,94.3,43,0,0,1,50.3,11753,100.0
47123,Tennessee,Monroe,75.2,74.3,76.0,,,,878,486,451,520,,,,22,55,35,84,,,,21,6,4,9,,,,15,15,16,15,15,16,16,12,20,29,75,5910,13,871,2,43,31,73,23,18,29,35,34,36,4062,16,13,18,437,4,3,6,76,1321:1,15,43749,39208,48290,21481,34034,37748,,56,23,4,2,7,31,14,9,19,13198,76,73,78,1897,11,9,14,46240,21.6,20.7,909,2.0,287,0.6,248,0.5,26,0.1,2123,4.6,41988,90.8,245,1,0,1,50.3,33868,76.1
47125,Tennessee,Montgomery,76.3,75.9,76.8,75.1,85.2,76.1,2201,425,407,443,490,206,432,128,61,50,71,65,,63,141,6,5,7,9,,6,14,14,15,13,13,14,11,9,13,265,172,27430,15,21355,12,101,17,166,13,11,14,41,40,42,13598,11,10,13,1910,4,2,5,82,1213:1,6,57431,53995,60867,47336,52782,57723,,36,32,7,6,8,172,18,15,21,40631,59,58,60,7969,12,11,13,200182,26.9,9.1,38930,19.4,1462,0.7,4851,2.4,899,0.4,20205,10.1,126915,63.4,1660,1,1,1,50.1,34022,19.7
47127,Tennessee,Moore,79.0,76.4,81.6,,,,102,383,303,463,,,,,,,,,,,,,,,,,,12,12,13,13,12,13,15,11,20,,,640,10,909,14,,,,,,,34,33,35,409,11,9,13,52,4,3,5,47,2128:1,,55448,48411,62485,44028,,51535,,,33,,,,,,,,2195,84,82,86,251,10,5,15,6384,19.3,21.2,157,2.5,21,0.3,51,0.8,1,0.0,130,2.0,5943,93.1,0,0,0,1,50.1,6354,99.9
47129,Tennessee,Morgan,73.5,72.1,74.8,,,,431,558,503,613,,,,14,82,45,138,,,,,,,,,,,15,15,16,15,14,15,13,10,18,21,113,3250,15,1753,8,19,29,28,18,12,27,37,36,38,1651,14,12,17,204,5,3,6,55,1803:1,,40667,36156,45178,,24191,40772,,,57,8,4,14,16,15,8,24,5994,81,78,84,794,11,8,14,21636,19.5,17.4,798,3.7,103,0.5,62,0.3,11,0.1,275,1.3,20140,93.1,78,0,0,1,45.3,21962,99.9
47131,Tennessee,Obion,76.4,75.4,77.4,74.6,,76.2,534,451,411,492,540,,453,16,59,34,97,,,,,,,,,,,16,15,16,15,14,15,14,11,18,26,100,5030,16,1553,5,,,41,19,14,26,36,35,37,2458,14,12,16,247,4,2,5,135,741:1,9,38160,33894,42426,21760,26250,41715,,54,47,,,,23,15,10,23,8631,67,66,69,1450,12,10,14,30385,21.9,20.1,3205,10.5,99,0.3,133,0.4,29,0.1,1316,4.3,25211,83.0,238,1,0,1,51.6,19588,61.6
47133,Tennessee,Overton,74.1,72.9,75.3,,,,472,537,486,588,,,,,,,,,,,,,,,,,,15,15,16,15,14,15,14,10,18,15,80,2940,13,98,0,17,26,34,22,15,31,35,33,36,1915,15,13,18,174,4,2,5,68,1467:1,,37154,34533,39775,,,,,,32,,,,29,26,18,38,7028,79,77,81,752,9,6,12,22012,21.6,20.2,121,0.5,85,0.4,76,0.3,2,0.0,312,1.4,21185,96.2,43,0,0,1,50.7,18598,84.2
47135,Tennessee,Perry,72.1,70.0,74.1,,,,209,663,565,760,,,,,,,,,,,,,,,,,,16,16,17,16,15,16,14,10,18,8,120,1260,16,1018,13,,,23,42,26,62,35,33,36,644,15,12,17,78,4,3,6,150,665:1,,37135,32246,42024,,,,,40,17,,,,11,28,14,50,2700,82,78,86,368,12,7,17,7975,21.8,21.2,188,2.4,64,0.8,45,0.6,1,0.0,207,2.6,7312,91.7,4,0,0,1,49.5,7915,100.0
47137,Tennessee,Pickett,77.6,75.4,79.8,,,,90,385,301,486,,,,,,,,,,,,,,,,,,14,14,15,14,14,15,15,11,20,,,630,13,14,0,,,,,,,34,32,35,361,13,11,15,39,4,3,5,59,1691:1,,39858,36179,43537,,,,,,,,,,,,,,1771,81,81,82,85,4,0,9,5073,18.0,27.3,8,0.2,23,0.5,2,0.0,4,0.1,100,2.0,4893,96.5,16,0,0,2,50.1,5077,100.0
47139,Tennessee,Polk,73.7,72.3,75.1,,,,393,569,510,629,,,,13,96,51,164,,,,,,,,,,,14,14,15,14,14,15,16,12,21,11,76,2140,13,24,0,13,26,30,26,17,37,36,34,37,1290,13,11,15,151,4,3,6,54,1862:1,,41191,37111,45271,,,,,,27,,,,18,22,13,34,5355,76,73,79,688,10,8,13,16757,19.8,20.7,112,0.7,93,0.6,49,0.3,13,0.1,358,2.1,15920,95.0,42,0,0,1,50.5,16825,100.0
47141,Tennessee,Putnam,75.5,74.8,76.1,79.4,83.2,75.1,1191,466,438,493,542,217,479,35,55,38,76,,,,39,6,4,9,,,,15,14,15,15,14,15,11,8,13,89,140,11170,15,6842,9,41,18,66,13,10,16,33,32,34,6804,15,13,17,717,4,3,6,193,518:1,4,42437,37828,47046,20274,42531,38328,,44,22,3,2,5,63,17,13,21,18527,60,59,62,4562,16,14,18,77674,21.2,16.4,1663,2.1,570,0.7,1137,1.5,113,0.1,4992,6.4,68562,88.3,1641,2,2,3,50.2,25295,35.0
47143,Tennessee,Rhea,73.5,72.5,74.4,,,,665,544,500,587,,,,21,70,44,107,,,,30,11,8,16,,,,15,15,16,15,14,15,16,12,20,12,44,5000,15,1666,5,18,18,46,20,15,27,35,34,37,2942,16,14,18,292,4,3,5,73,1362:1,,43426,38137,48715,31974,25139,39841,,39,28,,,,32,20,13,28,8882,70,67,74,1162,10,7,12,32691,22.7,18.5,712,2.2,169,0.5,176,0.5,18,0.1,1645,5.0,29557,90.4,381,1,1,2,50.5,21635,68.0
47145,Tennessee,Roane,75.0,74.2,75.8,,,,1134,524,491,558,454,,533,15,37,21,61,,,,23,7,5,11,,,,14,14,14,14,13,14,16,13,21,32,70,6780,13,5134,9,69,43,73,20,15,25,35,34,36,3706,12,10,14,353,3,2,4,89,1128:1,,48391,43598,53184,33176,76446,45311,,37,18,3,2,6,49,19,14,25,16274,75,73,77,2194,11,9,13,53036,19.0,22.5,1383,2.6,238,0.4,336,0.6,30,0.1,1005,1.9,49198,92.8,119,0,0,1,51.2,27628,51.0
47147,Tennessee,Robertson,75.8,75.1,76.4,70.5,,76.0,1060,435,408,462,675,,425,43,63,46,85,,,,38,6,4,8,,,,12,12,13,13,12,13,12,9,15,92,163,6880,10,1073,2,41,20,92,19,16,24,35,34,36,5571,13,11,15,674,4,3,5,87,1150:1,9,59771,55589,63953,33750,51574,60004,,56,43,6,4,9,51,15,11,20,18748,75,73,77,2603,11,9,12,70177,24.3,14.4,5117,7.3,404,0.6,470,0.7,71,0.1,4890,7.0,58539,83.4,899,1,1,2,50.7,35289,53.2
47149,Tennessee,Rutherford,77.9,77.5,78.2,77.3,93.5,77.7,3244,366,353,378,389,207,375,158,52,44,61,74,53,44,153,6,5,7,7,,6,12,12,13,12,12,12,11,9,14,437,179,34810,12,20893,8,177,19,220,11,9,12,37,36,38,21730,11,10,12,2634,3,2,4,97,1026:1,4,68082,64886,71278,48464,45381,66001,,33,28,4,3,5,153,10,9,12,69934,66,65,67,11847,11,10,12,317157,24.7,10.1,47505,15.0,1784,0.6,11175,3.5,354,0.1,25494,8.0,224712,70.9,6209,2,2,3,50.7,44699,17.0
47151,Tennessee,Scott,72.2,70.9,73.4,,,,467,609,552,666,,,,18,84,50,132,,,,,,,,,,,16,16,17,16,15,16,12,9,17,7,39,3800,17,382,2,13,20,29,19,13,27,35,33,36,1840,14,12,17,192,4,2,5,105,956:1,,34828,30720,38936,,20625,32460,,,35,,,,30,27,18,39,5941,70,67,73,1073,13,10,17,21989,24.4,16.4,44,0.2,68,0.3,53,0.2,4,0.0,203,0.9,21401,97.3,17,0,0,1,50.7,17906,80.6
47153,Tennessee,Sequatchie,76.9,75.4,78.4,,,,252,418,363,473,,,,,,,,,,,,,,,,,,14,13,14,14,13,14,14,10,18,6,48,1800,12,3,0,,,12,12,6,20,35,33,36,1120,13,11,15,114,3,2,5,81,1228:1,,45100,39345,50855,,58750,50772,,,9,,,,11,15,7,27,4153,75,71,80,459,9,6,12,14736,21.1,19.9,83,0.6,99,0.7,69,0.5,11,0.1,537,3.6,13779,93.5,56,0,0,1,50.6,10415,73.8
47155,Tennessee,Sevier,76.3,75.7,76.8,,87.4,75.9,1638,437,415,460,,251,452,33,41,28,57,,,,41,6,4,8,,,,14,14,14,14,13,14,15,11,19,63,77,11300,12,4885,5,85,29,119,18,15,21,35,33,36,11021,19,17,21,966,5,3,6,112,896:1,5,48482,45130,51834,44080,32334,45486,,64,22,,,,66,14,11,18,24861,67,66,69,4133,12,10,13,97638,20.8,19.2,1084,1.1,595,0.6,1315,1.3,43,0.0,5876,6.0,87817,89.9,1819,2,2,3,51.0,50920,56.6
47157,Tennessee,Shelby,75.8,75.6,76.0,73.5,91.9,78.0,13893,465,458,473,572,223,374,753,79,74,85,102,48,46,912,10,9,10,13,4,5,14,14,14,14,14,14,12,11,14,5731,750,198610,21,104909,11,600,21,838,13,12,14,38,38,39,84327,15,14,16,8925,4,3,5,122,820:1,11,49563,47605,51521,35061,36912,72343,,65,61,19,18,20,1107,24,22,25,195204,56,55,56,60300,18,17,19,936961,25.0,13.1,502118,53.6,2988,0.3,25194,2.7,739,0.1,59571,6.4,335966,35.9,17727,2,2,2,52.4,25601,2.8
47159,Tennessee,Smith,76.4,75.2,77.6,,,,321,447,396,498,,,,,,,,,,,,,,,,,,14,13,14,14,13,14,14,11,19,18,112,2330,12,110,1,22,38,33,24,17,34,33,32,35,1498,13,11,15,184,4,3,5,51,1964:1,,47653,41674,53632,21797,46500,45023,,42,23,,,,13,14,7,23,5633,75,72,77,712,10,7,13,19636,23.0,16.6,429,2.2,95,0.5,73,0.4,3,0.0,523,2.7,18272,93.1,16,0,0,1,50.3,15884,82.9
47161,Tennessee,Stewart,75.7,74.0,77.4,,,,240,452,391,513,,,,,,,,,,,,,,,,,,14,13,14,13,13,14,15,11,20,8,71,1840,14,97,1,,,18,19,12,31,35,34,36,1051,13,11,16,139,5,3,7,82,1214:1,,48175,42038,54312,32448,,45066,,26,21,,,,20,30,18,47,3769,71,67,75,603,12,8,16,13355,20.8,19.9,223,1.7,100,0.7,139,1.0,7,0.1,379,2.8,12279,91.9,23,0,0,1,50.0,13324,100.0
47163,Tennessee,Sullivan,75.8,75.4,76.2,73.7,103.7,75.7,2934,471,453,489,628,,475,53,43,32,56,,,,65,6,5,8,,,,14,13,14,14,14,15,15,13,17,121,90,20220,13,20210,13,120,25,156,14,12,16,35,34,36,11261,12,11,14,908,3,2,4,183,546:1,8,45224,41766,48682,30486,25714,42876,,54,35,3,2,4,112,14,12,17,48178,73,71,74,6306,10,9,11,157158,19.5,21.5,3423,2.2,566,0.4,1212,0.8,67,0.0,2936,1.9,146947,93.5,586,0,0,1,51.4,40086,25.6
47165,Tennessee,Sumner,78.0,77.6,78.4,77.5,88.0,77.7,2320,363,348,378,410,163,369,74,43,34,54,,,,81,6,5,7,,,,12,12,12,12,12,13,11,9,14,180,123,17550,10,11149,7,103,19,152,13,11,15,33,32,34,11950,11,10,12,1448,3,2,4,89,1119:1,6,65174,62008,68340,54928,39959,62483,,45,38,4,3,5,142,16,14,19,47485,74,72,75,6688,11,10,12,183545,23.8,15.4,13623,7.4,706,0.4,2599,1.4,191,0.1,9034,4.9,154733,84.3,1495,1,1,1,51.1,44792,27.9
47167,Tennessee,Tipton,74.7,74.0,75.4,73.3,,74.7,1005,484,453,514,539,,485,32,52,35,73,92,,43,30,6,4,8,,,,14,13,14,13,13,13,15,12,18,81,160,8770,14,3742,6,49,27,81,19,15,23,37,36,38,4732,13,11,15,480,3,2,4,70,1427:1,10,56511,50916,62106,32392,74095,61702,,41,35,6,4,9,54,18,13,23,14831,69,67,72,2133,10,8,12,61366,24.9,14.1,11263,18.4,293,0.5,466,0.8,97,0.2,1730,2.8,46492,75.8,391,1,0,1,50.7,33671,55.1
47169,Tennessee,Trousdale,74.1,72.3,75.8,,,,153,499,418,580,658,,495,,,,,,,,,,,,,,,13,13,14,13,13,14,14,10,19,15,223,1010,13,,,,,16,28,16,45,35,34,36,769,15,13,18,86,4,3,6,99,1008:1,,49711,45455,53967,27102,,49023,,58,57,,,,10,24,11,44,2101,71,65,78,398,14,8,21,10083,19.1,13.8,1066,10.6,69,0.7,56,0.6,1,0.0,266,2.6,8481,84.1,52,1,0,2,43.5,7870,100.0
47171,Tennessee,Unicoi,74.4,73.0,75.7,,,,392,531,474,587,,,,,,,,,,,,,,,,,,15,14,15,15,14,15,15,11,19,15,97,2580,14,1124,6,20,37,23,18,12,27,35,34,36,1465,14,12,16,130,4,2,5,56,1776:1,,41188,36627,45749,,,,,,16,8,4,15,21,24,15,36,5513,72,69,76,803,11,8,15,17759,18.8,22.9,74,0.4,73,0.4,45,0.3,8,0.0,854,4.8,16557,93.2,211,1,0,2,50.8,8180,44.7
47173,Tennessee,Union,74.1,72.8,75.5,,,,388,542,485,599,,,,,,,,,,,,,,,,,,15,15,16,15,14,15,16,11,21,,,2760,15,139,1,26,45,26,19,13,28,35,34,36,1781,16,13,18,190,4,3,6,51,1944:1,,40357,35994,44720,,,,,,19,8,4,15,26,27,18,40,5492,76,72,79,638,9,6,12,19442,22.0,18.0,56,0.3,88,0.5,41,0.2,16,0.1,315,1.6,18736,96.4,26,0,0,1,50.6,19109,100.0
47175,Tennessee,Van Buren,73.4,70.9,76.0,,,,133,548,445,651,,,,,,,,,,,,,,,,,,14,14,15,14,14,15,14,10,19,,,700,13,20,0,,,11,28,14,50,34,33,36,465,14,12,17,48,4,3,6,35,2871:1,,38478,33509,43447,,,,,,13,,,,,,,,1888,88,87,88,192,9,5,14,5742,19.4,23.2,43,0.7,22,0.4,12,0.2,1,0.0,88,1.5,5506,95.9,0,0,0,2,49.6,5548,100.0
47177,Tennessee,Warren,74.4,73.5,75.2,,79.4,74.1,781,526,487,564,642,,540,22,57,36,87,,,,27,8,6,12,,,,15,15,16,15,14,15,17,13,21,31,93,5140,13,1607,4,21,17,87,31,25,38,34,33,35,4082,17,15,20,441,4,3,6,101,991:1,11,37692,34361,41023,25990,37145,37251,,29,19,5,3,8,37,18,13,25,10794,69,66,71,1582,11,9,13,40651,23.7,17.4,1308,3.2,203,0.5,318,0.8,36,0.1,3707,9.1,34637,85.2,835,2,1,3,50.7,24453,61.4
47179,Tennessee,Washington,76.0,75.5,76.4,71.9,95.0,75.9,2107,453,433,474,694,283,451,72,73,57,92,,,,84,9,7,11,,,,14,13,14,14,13,14,14,12,17,186,171,16860,13,9478,8,100,26,78,9,7,11,38,37,39,9218,12,10,14,822,3,2,4,293,341:1,4,43194,39392,46996,29529,30500,45091,,50,37,3,2,4,76,12,10,15,34063,65,63,66,5974,12,10,13,127806,19.2,17.9,5365,4.2,554,0.4,1982,1.6,75,0.1,4412,3.5,113428,88.8,312,0,0,0,51.1,32493,26.4
47181,Tennessee,Wayne,75.6,74.3,76.9,,,,335,509,452,566,,,,,,,,,,,,,,,,,,15,15,16,14,14,15,14,11,19,14,95,2330,14,1556,9,,,21,18,11,27,38,36,39,1271,15,12,17,145,5,3,7,90,1106:1,17,36612,32025,41199,40096,41313,34696,,,32,,,,12,14,7,25,4715,80,77,84,586,11,8,14,16583,17.3,19.1,1051,6.3,64,0.4,50,0.3,5,0.0,345,2.1,14925,90.0,28,0,0,1,44.9,17021,100.0
47183,Tennessee,Weakley,75.7,74.6,76.7,73.5,,75.7,550,470,429,511,530,,467,19,72,43,113,,,,,,,,,,,14,14,15,14,14,15,12,9,15,16,55,5160,15,2517,7,15,15,40,17,12,23,35,34,36,2293,12,10,14,232,3,2,5,93,1075:1,,39424,34790,44058,19965,31250,38270,,49,46,6,3,10,36,21,15,29,9060,67,65,69,1401,11,9,13,33337,19.5,18.3,2538,7.6,136,0.4,394,1.2,14,0.0,817,2.5,29030,87.1,131,0,0,1,51.1,23466,67.0
47185,Tennessee,White,74.2,73.2,75.3,,,,553,539,491,586,,,,13,56,30,95,,,,,,,,,,,15,14,15,14,14,15,15,11,20,22,99,3350,13,1409,5,21,26,47,25,19,34,34,33,35,2140,14,12,16,201,3,2,5,71,1408:1,,39642,34857,44427,30779,30781,38331,,62,47,,,,29,22,15,31,7673,78,76,81,942,10,7,13,26753,21.8,20.1,460,1.7,134,0.5,102,0.4,24,0.1,686,2.6,25005,93.5,80,0,0,1,51.1,20201,78.2
47187,Tennessee,Williamson,82.1,81.7,82.5,80.2,87.2,81.9,1475,206,196,217,299,178,208,59,25,19,32,,,,54,4,3,5,,,,10,10,10,11,10,11,10,8,13,137,80,14450,7,6068,3,81,12,99,7,6,8,33,32,34,9314,7,6,8,1864,3,2,4,110,905:1,3,111427,102231,120623,70818,69550,105715,,30,30,1,1,2,95,9,7,11,58932,81,80,81,6192,9,8,10,226257,27.5,12.8,9783,4.3,601,0.3,10012,4.4,132,0.1,10857,4.8,191775,84.8,1459,1,1,1,51.1,35512,19.4
47189,Tennessee,Wilson,78.4,77.9,78.9,75.4,98.8,78.4,1664,347,330,365,443,187,345,61,49,37,62,112,,43,45,5,3,6,,,,11,11,11,12,11,12,13,10,16,134,125,12130,10,4430,4,105,26,110,12,10,15,33,32,34,7603,9,8,11,1009,3,2,4,111,898:1,5,70674,65885,75463,51448,58148,67758,,32,25,3,2,5,83,13,10,16,36338,77,75,79,4861,11,9,12,136442,23.9,15.4,9388,6.9,685,0.5,2225,1.6,126,0.1,5757,4.2,116243,85.2,924,1,0,1,50.9,43850,38.5
